Metric,Value
Total Image Area,249696 px²
Usable Area,127440 px²
Usable Area Ratio,51.04%
Total Detected Cars,7
Estimated Empty Slots (Usable),11
Estimated Empty Slots (Outside),0
Total Estimated Slots,18
Occupancy Rate,38.89%
